dataset,condition,hemi,subject_row,measure,value,dataset_pair
PNI,synthseg_v0.2,R,14,identifiability,0.042423746405752305,
PNI,synthseg_v0.2,R,15,identifiability,0.02841248047092692,
PNI,synthseg_v0.2,R,16,identifiability,,
PNI,synthseg_v0.2,R,17,identifiability,0.07799529620888171,
PNI,synthseg_v0.2,R,18,identifiability,,
PNI,synthseg_v0.2,R,19,identifiability,,
PNI,synthseg_v0.2,R,20,identifiability,0.01827095064119256,
PNI,synthseg_v0.2,R,21,identifiability,,
PNI,synthseg_v0.2,R,22,identifiability,0.054555734374926564,
PNI,synthseg_v0.2,R,23,identifiability,0.012806345453328835,
PNI,synthseg_v0.2,R,24,identifiability,,
PNI,synthseg_v0.2,R,25,identifiability,0.030297082231629465,
PNI,synthlayer_v0.3,L,0,identifiability,,
PNI,synthlayer_v0.3,L,1,identifiability,,
PNI,synthlayer_v0.3,L,2,identifiability,0.040284607360554926,
PNI,synthlayer_v0.3,L,3,identifiability,,
PNI,synthlayer_v0.3,L,4,identifiability,,
PNI,synthlayer_v0.3,L,5,identifiability,,
PNI,synthlayer_v0.3,L,6,identifiability,,
PNI,synthlayer_v0.3,L,7,identifiability,,
PNI,synthlayer_v0.3,L,8,identifiability,,
PNI,synthlayer_v0.3,L,9,identifiability,,
PNI,synthlayer_v0.3,L,10,identifiability,,
PNI,synthlayer_v0.3,L,11,identifiability,,
PNI,synthlayer_v0.3,L,12,identifiability,,
PNI,synthlayer_v0.3,L,13,identifiability,,
PNI,synthlayer_v0.3,L,14,identifiability,,
PNI,synthlayer_v0.3,L,15,identifiability,,
PNI,synthlayer_v0.3,L,16,identifiability,,
PNI,synthlayer_v0.3,L,17,identifiability,,
PNI,synthlayer_v0.3,L,18,identifiability,,
PNI,synthlayer_v0.3,L,19,identifiability,,
PNI,synthlayer_v0.3,L,20,identifiability,,
PNI,synthlayer_v0.3,L,21,identifiability,,
PNI,synthlayer_v0.3,L,22,identifiability,,
PNI,synthlayer_v0.3,L,23,identifiability,,
PNI,synthlayer_v0.3,L,24,identifiability,,
PNI,synthlayer_v0.3,L,25,identifiability,,
PNI,synthlayer_v0.3,R,0,identifiability,,
PNI,synthlayer_v0.3,R,1,identifiability,,
PNI,synthlayer_v0.3,R,2,identifiability,,
PNI,synthlayer_v0.3,R,3,identifiability,,
PNI,synthlayer_v0.3,R,4,identifiability,,
PNI,synthlayer_v0.3,R,5,identifiability,,
PNI,synthlayer_v0.3,R,6,identifiability,,
PNI,synthlayer_v0.3,R,7,identifiability,,
PNI,synthlayer_v0.3,R,8,identifiability,,
PNI,synthlayer_v0.3,R,9,identifiability,,
PNI,synthlayer_v0.3,R,10,identifiability,,
PNI,synthlayer_v0.3,R,11,identifiability,,
PNI,synthlayer_v0.3,R,12,identifiability,,
PNI,synthlayer_v0.3,R,13,identifiability,,
PNI,synthlayer_v0.3,R,14,identifiability,,
PNI,synthlayer_v0.3,R,15,identifiability,,
PNI,synthlayer_v0.3,R,16,identifiability,,
PNI,synthlayer_v0.3,R,17,identifiability,,
PNI,synthlayer_v0.3,R,18,identifiability,,
PNI,synthlayer_v0.3,R,19,identifiability,,
PNI,synthlayer_v0.3,R,20,identifiability,,
PNI,synthlayer_v0.3,R,21,identifiability,,
PNI,synthlayer_v0.3,R,22,identifiability,,
PNI,synthlayer_v0.3,R,23,identifiability,,
PNI,synthlayer_v0.3,R,24,identifiability,,
PNI,synthlayer_v0.3,R,25,identifiability,,
MICs,T1w,L,0,identifiability,0.035658168865756464,
MICs,T1w,L,1,identifiability,0.02379535375866254,
